stop_lat,wheelchair_boarding,stop_code,stop_lon,parent_station,stop_url,stop_id,stop_desc,stop_name,location_type,zone_id
29.956524,0,681,-90.127925,,,681,LEONIDAS ST & PANOLA ST,Leonidas at Spruce,0,
29.957956,0,680,-90.126434,,,680,LEONIDAS ST & S CLAIBORNE AVE,Leonidas at Sycamore,0,
29.953699,0,683,-90.130951,,,683,LEONIDAS ST & BIRCH ST,Leonidas at Birch,0,
29.955096,0,682,-90.129436,,,682,LEONIDAS ST & COHN ST,Leonidas at Hickory,0,
30.029214,0,8053,-89.982441,,,8053,LAKE FOREST BLVD & BUNDY RD,Lake Forest at Bundy,0,
29.948176,0,8389,-90.040829,,,8389,OPELOUSAS AVE & LEBOEUF ST,Opelousas at Whitney,0,
30.031907,0,8052,-89.949553,,,8052,MIDPOINT DR & BULLARD AVE,Bullard at Midpoint,0,
29.961281,0,8385,-90.083208,,,8385,S GALVEZ ST & CANAL ST,S Galvez at Cleveland,0,
29.981614,0,8384,-90.111864,,,8384,CITY PARK AVE & UNNAMED ST,City Park at Canal,0,
29.9636,0,8383,-90.031991,,,8383,N RAMPART ST & LESSEPS ST,Poland at Rampart,0,
29.998393,0,8382,-90.032682,,,8382,DESIRE PKY & CHICKASAW ST,Chickasaw at Desire Parkway,0,
29.940218,0,8381,-90.050694,,,8381,NUNEZ ST & PTOLEMY ST,Nunez at Ptolemy,0,
29.942408,0,8380,-90.050696,,,8380,NUNEZ ST & DE ARMAS ST,Lamarque at Nunez,0,
29.972456,0,8502,-90.085074,,,8502,ORLEANS AVE & N DUPRE ST,Orleans at N Dupre,0,
30.037743,0,8549,-89.997184,,,8549,CROWDER BLVD & ABERDEEN RD,Crowder at Aberdeen Rd,0,
30.035385,0,8548,-89.99633,,,8548,CROWDER BLVD & MORRISON RD,Crowder at Morrison,0,
30.027642,0,8545,-89.992604,,,8545,CROWDER BLVD & LAKE WILLOW DR,Crowder at Lake Forest,0,
30.033055,0,8544,-89.995549,,,8544,CROWDER BLVD & LAKE WILLOW DR,Crowder at Huntington Pk,0,
30.032166,0,8547,-89.9946,,,8547,CROWDER BLVD & I-10 SERVICE RD,Crowder at Huntington Park,0,
30.028642,0,8546,-89.992713,,,8546,CROWDER BLVD & I-10 SERVICE RD,Crowder at Service Road,0,
30.035707,0,8543,-89.997048,,,8543,CROWDER BLVD & MORRISON RD,Crowder at Morrison,0,
29.931897,0,626,-90.093039,,,626,LOUISIANA AVE & DRYADES ST,Louisiana at Danneel,0,
30.007005,0,1221,-90.074568,,,1221,PARIS AVE & MIRABEAU AVE,Mirabeau at Paris,0,
29.978988,0,2036,-90.046167,,,2036,N GALVEZ ST & PORT ST,N Galvez at Port,0,
29.966714,0,5624,-90.089092,,,5624,CANAL ST & S DUPRE ST,Canal at White,0,
29.979117,0,2035,-90.048688,,,2035,N GALVEZ ST & PAINTERS ST,N Galvez at Franklin,0,
29.994425,0,1371,-90.049476,,,1371,ELDER ST & FRANKLIN AVE,Franklin at Elder,0,
29.955463,0,406,-90.119982,,,406,UNNAMED ST & S CLAIBORNE AVE,S Claiborne at Carrollton,0,
